loan_origination_date,report_date,default_date,loan_age_m,credit_utilization,dpd,internal_score,age,macro_gdp_growth,macro_unemployment,macro_interest_rate,LGD,EAD,default_flag,account_id,employment_status,marital_status,dependents,region,stage
10/25/2021,3/1/2024,,29,0.42,99,551,36,4.33,4.51,3.36,0.405835708,59524.80636,0,9449975,Employed,Single,3,West,3
6/11/2018,5/1/2022,8/10/2022,47,1,139,868,66,0.29,6.18,2.36,0.693086785,145931.7178,1,6228566,Employed,Married,0,West,3
2/20/2021,8/1/2024,,42,0.43,27,351,57,2.29,4.14,3.41,0.418884427,33587.13655,0,3844180,Employed,Divorced,0,South,2
12/22/2017,9/1/2024,,81,1,154,755,21,2.5,6.88,3.23,0.7,148398.1962,0,6931161,Employed,Married,3,South,3
12/4/2021,7/1/2022,10/25/2022,7,0.73,119,802,38,3.31,4.32,2.9,0.539792331,129156.5816,1,2655016,Employed,Married,2,West,3
3/22/2017,1/1/2024,,82,0.82,5,498,28,2.53,6.05,3.7,0.589293152,102515.3576,0,8887739,Employed,Divorced,2,North,2
11/8/2018,11/1/2023,,60,0.91,147,561,37,1.76,4.58,2.92,0.7,162469.653,0,7189573,Employed,Married,3,East,3
2/25/2019,4/1/2022,,38,1,90,860,58,2.75,3.61,2.86,0.7,164755.4964,0,2034586,Self-Employed,Married,0,South,3
5/26/2019,4/1/2022,3/6/2023,35,0.62,0,761,55,2.52,6.66,3.37,0.467526281,83315.33356,1,6445315,Employed,Married,1,North,2
7/21/2016,10/1/2023,,87,0.36,98,822,45,2.01,2.34,3.18,0.375128002,56169.40725,0,7529845,Self-Employed,Single,4,South,3
1/8/2017,11/1/2022,,70,0.44,2,566,22,1.6,4.04,2.92,0.368829115,102966.4362,0,9659522,Self-Employed,Married,4,West,2
1/28/2017,11/1/2024,,94,1,51,761,52,1.66,1.97,2.1,0.676713512,169670.9563,0,9767088,Self-Employed,Married,4,South,2
